domain,N,mean_H,std_H,n_sequences
wiki,16,3.534132376104593,0.8121895389470585,200
wiki,64,2.7216214876472953,0.7512708786423397,200
wiki,256,2.4047511530518535,0.7713626092627354,200
wiki,512,2.3084710170626637,0.6878475686469707,200
wiki,1024,2.228885071698357,0.6851976558437123,200
wiki,2048,2.211026895046234,2.4348783225660013,200
fiction,16,3.887225230097771,0.9504679300962815,200
fiction,64,2.837876837044954,0.7878118870090057,200
fiction,256,2.6601833718121055,0.7978087823411569,200
fiction,512,2.649508406490088,0.7808127481972919,200
fiction,1024,2.6181145578973433,0.8417073184808797,200
fiction,2048,2.518386824727058,2.6781746844662577,200
code,16,1.6184496658742427,0.5883989779404185,200
code,64,1.127202294498682,0.49695682805612945,200
code,256,0.8862193430066108,0.3962902696887838,200
code,512,0.8776101994216441,0.39327851280396253,200
code,1024,0.9092828199793311,0.405577100603254,200
code,2048,0.9280592978000641,1.7795063443035757,200
