domain,N,mean_H,std_H,n_sequences,model
wiki,16,3.323273512870073,0.8021447216358464,200,Mistral-7B-v0.1
wiki,64,2.304060997635126,0.659625097681551,200,Mistral-7B-v0.1
wiki,256,1.9622303956151008,0.6313514268512961,200,Mistral-7B-v0.1
wiki,512,1.8849154789149762,0.6020674838924812,200,Mistral-7B-v0.1
wiki,1024,1.8472400925089332,0.7115793004122072,200,Mistral-7B-v0.1
wiki,2048,1.990968675017357,2.8298630371821347,200,Mistral-7B-v0.1
fiction,16,3.051474827170372,0.8741090814451045,200,Mistral-7B-v0.1
fiction,64,1.675435181289911,0.7111826418028128,200,Mistral-7B-v0.1
fiction,256,1.5009399737715718,0.716065987031225,200,Mistral-7B-v0.1
fiction,512,1.497529888033867,0.7126481462713969,200,Mistral-7B-v0.1
fiction,1024,1.4708314630213906,0.7543679936934486,200,Mistral-7B-v0.1
fiction,2048,1.6117252433300018,2.3313863359934204,200,Mistral-7B-v0.1
code,16,1.6555054619908334,0.6328326816556759,200,Mistral-7B-v0.1
code,64,1.1016559850275518,0.6016782738061034,200,Mistral-7B-v0.1
code,256,0.9401099625527859,0.6170781277312974,200,Mistral-7B-v0.1
code,512,0.8167216599881649,0.5192177899491368,200,Mistral-7B-v0.1
code,1024,0.8158326039594763,0.5436214067897118,200,Mistral-7B-v0.1
code,2048,0.6592891693115235,1.523703557979316,200,Mistral-7B-v0.1
